repository,file_path,change_count
pytest,testing/_py/test_local.py,1
pytest,changelog/14683.bugfix.rst,1
pytest,changelog/14687.improvement.rst,1
pytest,doc/en/reference/customize.rst,1
pytest,doc/en/backwards-compatibility.rst,1
pytest,changelog/14637.bugfix.rst,1
pytest,doc/en/how-to/capture-warnings.rst,1
pytest,changelog/14638.bugfix.rst,1
pytest,changelog/12860.improvement.rst,1
pytest,src/_pytest/{python_api.py => approx.py},1
pytest,changelog/14164.improvement.rst,1
pytest,changelog/14036.bugfix.rst,1
pytest,src/_pytest/_io/pprint.py,1
pytest,testing/io/test_pprint.py,1
pytest,doc/en/announce/release-9.1.1.rst,1
pytest,doc/en/example/simple.rst,1
pytest,testing/python/raises_group.py,1
pytest,testing/typing_checks.py,1
pytest,changelog/11225.improvement.rst,1
pytest,changelog/11295.improvement.rst,1
pytest,changelog/12882.deprecation.rst,1
pytest,changelog/13192.bugfix.rst,1
pytest,changelog/13241.improvement.rst,1
pytest,changelog/13409.deprecation.rst,1
pytest,changelog/13626.bugfix.rst,1
pytest,changelog/13862.improvement.rst,1
pytest,changelog/13884.bugfix.rst,1
pytest,changelog/13917.bugfix.rst,1
pytest,changelog/13946.deprecation.rst,1
pytest,changelog/13963.bugfix.rst,1
pytest,changelog/14012.doc.rst,1
pytest,changelog/14023.feature.rst,1
pytest,changelog/14026.improvement.rst,1
pytest,changelog/14050.bugfix.rst,1
pytest,changelog/14114.bugfix.rst,1
pytest,changelog/14137.improvement.rst,1
pytest,changelog/14234.bugfix.rst,1
pytest,changelog/14248.bugfix.rst,1
pytest,changelog/14303.doc.rst,1
pytest,changelog/14335.deprecation.rst,1
pytest,changelog/14342.improvement.rst,1
pytest,changelog/14371.feature.rst,1
pytest,changelog/14373.improvement.rst,1
pytest,changelog/14381.bugfix.rst,1
pytest,changelog/14389.bugfix.rst,1
pytest,changelog/14392.bugfix.rst,1
pytest,changelog/5848.bugfix.rst,1
pytest,changelog/719.bugfix.rst,1
pytest,doc/en/announce/release-9.1.0.rst,1
pytest,.github/ISSUE_TEMPLATE/3_security_vulnerability.md,1
pytest,README.rst,1
pytest,SECURITY.md,1
pytest,testing/code/test_code.py,1
pytest,testing/test_unraisableexception.py,1
pytest,src/_pytest/assertion/highlight.py,1
pytest,src/pytest/__main__.py,1
pytest,testing/test_capture.py,1
pytest,src/_pytest/monkeypatch.py,1
pytest,doc/en/how-to/monkeypatch.rst,1
pytest,testing/python/raises.py,1
pytest,doc/en/how-to/subtests.rst,1
pytest,src/_pytest/pastebin.py,1
pytest,testing/test_pastebin.py,1
pytest,testing/logging/test_reporting.py,1
pytest,testing/test_setuponly.py,1
fastapi,docs/en/docs/release-notes.md,216
fastapi,uv.lock,27
fastapi,fastapi/__init__.py,23
fastapi,fastapi/routing.py,15
fastapi,.github/workflows/test.yml,14
fastapi,.github/workflows/pre-commit.yml,10
fastapi,.github/workflows/build-docs.yml,8
fastapi,.github/workflows/translate.yml,8
fastapi,README.md,8
fastapi,docs/en/data/sponsors.yml,8
fastapi,pyproject.toml,7
fastapi,.github/workflows/notify-translations.yml,7
fastapi,.github/workflows/sponsors.yml,7
fastapi,.github/workflows/latest-changes.yml,7
fastapi,.github/workflows/bump-pre-commit-hooks.yml,6
fastapi,.github/workflows/deploy-docs.yml,6
fastapi,.github/workflows/prepare-release.yml,6
fastapi,.github/workflows/smokeshow.yml,6
fastapi,.github/workflows/topic-repos.yml,6
fastapi,docs/en/docs/tutorial/frontend.md,6
fastapi,tests/test_frontend.py,6
fastapi,docs/en/mkdocs.yml,6
fastapi,.github/workflows/zizmor.yml,5
fastapi,docs/en/data/topic_repos.yml,5
fastapi,.github/workflows/create-draft-release.yml,5
fastapi,.github/workflows/label-approved.yml,5
fastapi,.github/workflows/publish.yml,5
fastapi,fastapi/dependencies/utils.py,5
fastapi,.github/workflows/test-redistribute.yml,4
fastapi,.pre-commit-config.yaml,4
fastapi,docs/en/data/github_sponsors.yml,4
fastapi,scripts/translate.py,4
fastapi,docs/en/overrides/main.html,4
fastapi,docs/en/docs/index.md,4
fastapi,.github/workflows/labeler.yml,4
fastapi,fastapi/openapi/utils.py,4
fastapi,.github/workflows/contributors.yml,4
fastapi,.github/workflows/people.yml,4
fastapi,docs/en/docs/fastapi-people.md,4
fastapi,docs/ru/docs/deployment/docker.md,3
fastapi,docs/ru/docs/tutorial/frontend.md,3
fastapi,docs/zh-hant/docs/advanced/dataclasses.md,3
fastapi,docs/zh-hant/docs/advanced/events.md,3
fastapi,docs/zh-hant/docs/advanced/generate-clients.md,3
fastapi,docs/zh-hant/docs/advanced/openapi-callbacks.md,3
fastapi,docs/zh-hant/docs/advanced/wsgi.md,3
fastapi,docs/zh-hant/docs/deployment/docker.md,3
fastapi,docs/zh-hant/docs/deployment/manually.md,3
fastapi,docs/zh-hant/docs/index.md,3
